customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5141-ZUVBH,0,0,1,1,9,1,1,1,1,1,1,1,0,1,0,1,2,93.0,870.25,0
1089-HDMKP,1,1,1,1,11,1,1,0,0,0,0,1,0,0,0,0,0,54.55,601.25,0
7623-HKYRK,1,0,1,1,6,1,1,2,2,2,2,2,2,2,0,1,1,19.7,111.65,0
0310-SUCIN,0,0,0,0,71,1,1,0,1,0,1,1,1,1,1,0,2,84.8,6046.1,0
5197-PYEPU,0,0,0,1,42,1,2,1,1,0,0,0,1,0,1,0,3,94.45,3923.8,0
2929-ERCFZ,0,0,0,1,8,1,1,1,0,1,1,0,1,1,0,0,0,94.2,777.3,1
7548-SEPYI,0,0,1,0,5,1,1,1,0,0,0,0,1,1,0,0,0,96.25,512.45,1
8835-VSDSE,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,70.7,141.45,1
6619-RPLQZ,0,0,0,1,45,1,1,2,2,2,2,2,2,2,2,1,1,20.85,892.15,0
3275-RHRNE,1,0,0,1,28,0,0,0,0,0,1,1,1,1,1,0,3,60.0,1682.05,0
3503-TYDAY,0,0,0,0,43,1,2,1,0,0,0,0,0,0,0,1,0,80.45,3398.9,0
6901-GOGZG,1,0,1,1,60,1,2,0,1,1,1,1,1,1,2,0,0,84.95,4984.85,0
1623-NLDOT,0,0,0,0,42,0,0,0,0,0,0,1,0,0,1,1,1,33.55,1445.3,1
7021-XSNYE,1,0,0,1,7,0,0,0,1,1,1,1,0,1,2,1,3,49.65,305.55,0
9621-OUPYD,0,0,0,0,25,1,1,2,2,2,2,2,2,2,1,0,2,20.2,507.9,0
9898-KZQDZ,0,1,0,1,40,1,2,1,0,1,0,0,1,1,0,0,3,94.55,3640.45,1
8982-NHAVY,1,0,1,0,27,1,2,1,0,1,1,0,1,1,1,0,2,100.5,2673.45,0
4307-KWMXE,1,0,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,35.75,389.8,0
0141-YEAYS,0,1,1,0,27,1,2,1,0,0,1,0,0,0,0,0,2,86.45,2401.05,0
2450-ZKEED,0,0,1,0,11,1,1,0,0,1,1,1,0,0,1,1,2,53.8,651.55,0
3694-DELSO,1,0,0,1,4,0,0,0,1,1,0,0,1,0,0,1,3,38.55,156.1,0
3893-JRNFS,1,0,1,0,68,0,0,0,0,1,1,0,0,1,0,0,2,39.9,2796.35,0
9603-OAIHC,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,70.05,70.05,0
1133-KXCGE,0,0,1,0,18,1,1,2,2,2,2,2,2,2,1,1,1,20.1,407.05,0
5236-PERKL,0,0,1,0,57,1,2,1,1,0,1,0,1,1,2,0,2,112.95,6465.0,1
0142-GVYSN,1,0,1,0,26,1,1,2,2,2,2,2,2,2,0,0,0,20.3,511.25,0
1049-FYSYG,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,3,35.65,646.05,0
7854-FOKSF,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,35.9,35.9,1
2519-FAKOD,1,0,1,1,38,1,2,1,0,1,1,0,1,1,0,0,2,99.25,3777.15,1
8406-LNMHF,1,1,0,0,59,1,1,1,1,0,1,0,0,0,1,0,3,82.95,4903.15,0
1821-BUCWY,1,0,1,0,30,1,1,0,1,1,1,0,0,0,2,0,1,55.65,1653.85,0
8263-JQAIK,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,24.45,47.5,1
0023-UYUPN,0,1,0,0,50,1,2,2,2,2,2,2,2,2,1,1,0,25.2,1306.3,0
8314-DPQHL,1,0,1,0,9,0,0,0,1,1,1,1,0,1,1,1,1,50.8,463.6,0
1465-WCZVT,0,0,0,1,3,1,1,2,2,2,2,2,2,2,0,1,1,19.65,60.65,0
9481-SFCQY,0,0,1,1,14,1,1,0,0,1,1,0,1,0,0,0,3,59.8,824.85,0
6360-SVNWV,0,1,1,0,31,1,1,1,1,1,0,0,0,0,0,0,3,73.55,2094.65,0
