customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8623-TMRBY,1,1,0,1,51,1,2,1,0,0,1,0,0,0,0,0,0,84.2,4146.05,1
1552-CZCLL,0,0,0,1,55,1,1,2,2,2,2,2,2,2,0,1,3,20.0,1087.25,0
3038-PQIUY,0,0,1,0,38,1,2,0,1,0,1,0,0,0,0,0,2,66.15,2522.4,0
1501-SGHBW,1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,1,1,45.85,81.0,1
9313-CDOGY,1,0,0,1,38,1,1,2,2,2,2,2,2,2,0,1,0,19.6,717.3,0
8148-BPLZQ,1,0,1,0,34,1,1,0,0,0,0,0,0,0,0,0,0,49.8,1734.2,0
2623-DRYAM,0,0,0,0,70,1,2,1,0,1,1,0,1,1,1,0,0,101.75,7069.3,0
9987-LUTYD,0,0,1,0,13,1,1,0,1,1,0,1,0,0,1,1,1,55.15,742.9,0
3208-YPIOE,1,0,1,0,39,1,2,1,0,1,0,0,0,0,0,1,0,75.25,3017.65,1
4488-KQFDT,0,0,1,0,61,1,2,1,0,0,1,0,1,1,1,0,0,103.95,6423.0,0
2612-RANWT,0,0,1,0,12,1,2,1,0,1,1,0,1,1,0,0,2,100.15,1164.3,1
5693-PIPCS,1,0,1,0,41,1,1,1,0,0,0,1,1,1,2,0,3,99.65,4220.35,0
0491-KAPQG,1,0,1,0,21,1,2,1,0,1,0,0,0,0,0,0,0,73.7,1558.7,0
1925-LFCZZ,1,1,1,0,55,0,0,0,0,1,1,0,1,1,1,0,2,50.05,2743.45,0
8039-EQPIM,1,0,0,0,69,0,0,0,1,1,1,1,1,1,2,1,2,60.25,4055.5,0
6900-PXRMS,1,1,0,1,26,1,2,1,0,0,1,0,1,1,0,1,0,105.75,2710.25,1
8707-RMEZH,0,1,0,0,69,1,1,1,1,0,0,0,0,1,1,1,3,87.3,6055.55,0
3346-BRMIS,0,1,0,0,18,0,0,0,0,1,1,0,1,1,0,0,0,48.35,810.7,1
3209-ZPKFI,1,0,0,1,47,1,2,0,0,0,0,0,0,0,0,1,0,54.25,2538.2,0
6479-VDGRK,0,0,0,1,72,1,1,0,1,0,1,1,1,1,2,1,2,85.3,6129.2,0
9373-WSLOY,1,1,0,0,33,0,0,0,0,0,1,1,1,0,0,0,0,50.0,1750.85,0
2933-FILNV,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,24.4,36.55,1
3569-JFODW,0,0,0,1,72,1,2,0,1,0,1,1,1,1,2,1,3,90.95,6652.45,0
9819-FBNSV,1,1,0,0,37,1,1,1,0,1,0,0,0,0,0,0,2,72.25,2575.45,0
9544-PYPSJ,0,1,0,1,62,1,2,1,0,0,1,0,0,1,0,0,3,96.1,6019.35,0
1591-XWLGB,0,0,0,0,71,1,1,2,2,2,2,2,2,2,2,1,3,19.85,1379.6,0
0396-UKGAI,1,0,1,1,23,1,1,0,0,0,0,1,0,0,0,0,2,55.3,1284.2,0
3243-ZHOHY,0,0,1,0,16,1,1,2,2,2,2,2,2,2,1,1,1,20.1,296.15,0
5186-EJEGL,1,0,1,0,9,1,1,0,1,1,1,1,1,0,0,0,1,69.5,653.25,0
7527-QNRUS,1,0,0,1,17,1,2,2,2,2,2,2,2,2,2,0,1,25.15,412.6,0
9986-BONCE,0,0,1,0,4,1,1,2,2,2,2,2,2,2,0,1,2,20.95,85.5,1
2722-JMONI,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,49.55,49.55,1
2203-GHNWN,0,0,0,0,24,1,2,1,0,1,1,0,0,0,0,0,1,79.65,1928.7,0
3878-AVSOQ,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,71.25,71.25,0
3258-SYSWS,1,1,1,0,72,1,2,1,1,0,1,1,1,1,2,1,2,113.8,7845.8,0
5296-PSYVW,0,0,0,0,72,1,2,2,2,2,2,2,2,2,2,1,0,24.55,1750.7,0
6319-QSUSR,0,0,1,1,11,1,1,2,2,2,2,2,2,2,0,1,3,19.7,216.2,0
4083-EUGRJ,1,0,1,0,9,1,1,2,2,2,2,2,2,2,0,1,1,20.25,178.5,1
7579-OOPEC,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,3,50.15,115.1,1
0512-FLFDW,0,1,0,0,60,1,2,1,0,1,1,0,1,1,1,0,3,100.5,6029.0,0
1771-OADNZ,1,1,0,0,29,1,2,1,0,0,1,0,0,1,0,0,0,95.9,2745.2,1
0487-CRLZF,0,0,1,0,49,1,1,0,0,1,1,1,1,1,2,0,2,74.45,3721.9,0
2107-FBPTK,0,1,1,0,30,1,2,1,0,0,1,0,1,1,0,0,0,104.1,3121.1,0
9451-WLYRI,0,0,0,0,53,1,1,2,2,2,2,2,2,2,1,1,3,19.05,990.45,0
8219-VYBVI,1,0,1,1,39,1,2,2,2,2,2,2,2,2,2,1,1,25.0,1004.35,0
1991-VOPLL,0,0,1,0,9,1,1,2,2,2,2,2,2,2,0,1,1,19.05,157.65,0
9738-QLWTP,1,0,1,0,39,1,1,1,0,1,1,1,0,0,1,1,0,81.9,3219.75,0
1016-DJTSV,1,1,1,0,8,1,1,1,0,1,0,0,0,0,0,0,0,69.7,572.85,0
9419-IPPBE,0,0,0,1,51,1,2,1,0,1,1,0,0,1,1,0,0,90.15,4554.85,0
0174-QRVVY,1,0,0,1,71,1,2,2,2,2,2,2,2,2,2,1,3,25.35,1847.55,0
5699-BNCAS,1,1,1,0,71,1,2,2,2,2,2,2,2,2,2,0,1,24.65,1766.75,0
2900-PHPLN,0,1,0,0,70,1,1,2,2,2,2,2,2,2,2,0,3,19.55,1462.05,0
0612-RTZZA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,25.25,25.25,1
8106-GWQOK,1,0,0,0,38,0,0,0,1,0,0,1,1,1,2,0,2,60.0,2193.2,0
8751-EDEKA,0,0,0,0,28,1,1,1,0,0,1,0,0,1,0,1,3,89.9,2433.5,0
6878-GGDWG,0,0,0,0,32,1,1,2,2,2,2,2,2,2,0,1,2,19.4,641.15,0
4039-PIMHX,1,1,0,0,49,1,1,0,0,0,0,0,0,0,2,1,1,49.8,2398.4,0
8450-LUGUK,0,0,0,1,37,1,2,2,2,2,2,2,2,2,2,0,2,24.1,861.85,0
3604-WLABM,0,0,1,0,10,1,1,0,0,1,1,1,0,0,0,1,0,54.25,583.0,0
0795-GMVQO,1,0,0,0,67,1,2,1,1,0,1,0,1,1,1,1,3,109.9,7332.4,0
2259-OUUSZ,1,0,1,0,7,0,0,0,0,1,1,1,0,0,1,0,3,35.5,249.55,0
1142-IHLOO,0,0,1,0,51,1,1,1,0,1,0,0,1,1,1,1,3,87.55,4475.9,0
6410-LEFEN,0,0,1,0,9,1,1,0,0,1,0,0,0,0,0,1,0,45.15,416.45,1
4633-MKHYU,0,0,1,0,9,1,1,1,0,1,0,0,1,1,0,0,1,88.4,788.6,0
6257-RJOHI,1,0,1,0,4,1,1,0,0,1,0,1,0,0,0,0,1,50.8,202.3,0
1545-JFUML,1,0,0,0,71,1,2,1,1,0,1,0,1,0,2,0,0,99.0,6994.6,0
3194-ORPIK,0,0,0,1,50,1,2,1,0,1,0,0,1,0,0,0,2,84.4,4116.15,1
7826-VVKWT,0,1,0,1,24,1,1,1,0,1,1,0,1,1,2,0,0,96.55,2263.45,0
1353-GHZOS,1,0,0,0,22,1,1,0,1,1,0,0,1,0,1,0,2,59.75,1374.35,0
2587-EKXTS,1,0,1,0,44,1,2,1,1,0,1,0,1,1,0,0,0,111.5,4915.15,0
5442-BXVND,0,0,0,1,33,1,2,2,2,2,2,2,2,2,0,1,2,24.25,838.5,0
8816-VXNZD,0,0,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,75.1,75.1,1
9378-FXTIZ,0,0,0,0,54,1,2,0,0,1,0,0,1,1,1,0,3,70.15,3715.65,1
1723-HKXJQ,1,0,1,0,42,1,2,1,0,0,0,0,1,1,0,0,0,101.75,4273.45,1
