customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5370-IIVVL,1,0,1,0,37,1,2,1,0,0,0,1,1,1,1,0,3,104.5,3778.0,0
6789-HJBWG,0,0,1,0,12,1,1,0,0,0,0,0,0,0,0,0,0,49.4,611.65,0
3927-NLNRY,1,0,0,0,53,1,1,1,0,0,0,0,1,1,1,0,2,94.25,4867.95,1
9087-EYCPR,0,0,1,0,60,1,2,2,2,2,2,2,2,2,2,1,1,25.0,1505.05,0
6791-YBNAK,1,0,0,1,18,0,0,0,0,1,0,0,0,0,0,1,3,25.55,467.85,0
6358-LYNGM,1,0,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,74.9,74.9,1
6077-BDPXA,0,0,1,0,3,1,1,1,0,1,0,0,0,0,0,0,0,70.15,194.2,0
0013-MHZWF,0,0,1,1,9,1,1,0,0,1,0,1,1,1,0,0,3,69.4,571.45,0
5494-HECPR,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,80.25,80.25,1
8268-YDIXR,1,0,0,0,56,1,2,1,1,0,1,0,0,0,1,0,0,93.15,5253.95,0
9824-BEMCV,1,0,0,1,17,1,1,1,0,1,0,0,0,0,0,0,0,69.0,1149.65,1
1373-ORVIZ,0,0,0,1,11,1,2,0,0,1,0,1,0,1,0,0,0,66.35,740.8,1
4291-SHSBH,1,0,1,0,7,1,1,1,0,1,0,0,0,0,0,0,0,69.55,521.35,0
6980-IMXXE,0,0,0,1,69,1,1,2,2,2,2,2,2,2,2,1,2,20.2,1412.65,0
9866-QEVEE,1,0,1,0,19,1,2,1,0,1,0,0,0,1,0,0,2,86.0,1532.45,1
9897-KXHCM,0,0,0,1,3,1,1,1,0,1,0,0,0,1,0,0,0,80.3,250.05,1
0040-HALCW,1,0,0,1,54,1,1,2,2,2,2,2,2,2,2,1,3,20.4,1090.6,0
0784-GTUUK,1,0,0,0,62,1,2,2,2,2,2,2,2,2,1,0,3,23.75,1446.8,0
7979-CORPM,1,0,1,0,24,1,2,1,0,0,0,0,1,0,0,0,3,90.55,2282.55,1
2294-DMMUS,0,0,0,1,62,1,2,0,0,1,0,0,1,1,0,0,3,70.45,4300.45,0
0872-JCPIB,1,0,1,0,17,1,2,0,1,1,0,0,0,1,0,1,2,65.75,1111.2,0
3055-MJDSB,1,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,1,24.6,190.1,0
9091-WTUUY,1,0,0,1,64,1,1,0,1,1,1,1,1,0,2,1,1,69.25,4447.75,0
1618-CFHME,0,0,1,0,2,1,2,1,0,1,0,0,0,0,0,0,0,75.9,143.35,1
3165-HDOEW,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,45.85,45.85,1
6581-NQCBA,0,0,0,0,16,0,0,0,0,1,0,1,1,1,0,0,0,49.95,810.2,1
7115-IRDHS,0,0,0,0,72,1,2,2,2,2,2,2,2,2,2,1,2,24.65,1830.05,0
8496-DMZUK,1,0,1,0,30,1,2,1,1,0,1,0,0,0,1,1,2,90.4,2820.65,0
2040-VZIKE,0,0,0,0,49,1,2,1,1,1,0,0,1,1,0,0,1,100.85,4847.35,0
9068-VPWQQ,1,0,0,0,61,1,2,0,1,1,1,1,0,1,2,1,3,75.35,4729.3,0
0178-SZBHO,1,0,0,1,47,1,2,1,0,0,0,0,1,0,0,1,0,87.2,4017.45,0
0384-RVBPI,1,0,1,0,20,1,1,0,1,1,1,0,0,1,0,1,3,64.4,1398.6,0
1689-MRZQR,1,0,0,1,34,1,1,1,0,1,0,0,1,0,0,1,0,78.3,2564.3,1
1299-AURJA,0,0,0,1,70,1,2,2,2,2,2,2,2,2,2,1,2,24.7,1685.9,0
4525-VZCZG,1,0,1,1,54,1,1,1,1,0,0,1,1,1,1,0,0,105.85,5826.65,0
1543-LLLFT,1,1,0,0,61,1,2,1,0,0,1,1,1,0,1,0,1,98.3,6066.55,0
5835-BEQEU,1,0,1,0,3,1,2,1,0,1,0,0,0,0,0,0,0,76.95,228.4,1
2788-CJQAQ,1,0,1,0,13,1,1,2,2,2,2,2,2,2,1,1,1,19.45,270.2,0
5565-FILXA,0,1,1,0,16,1,2,1,0,1,0,0,1,1,0,0,0,96.15,1529.2,1
0319-QZTCO,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0,3,58.7,168.6,0
2120-SMPEX,1,0,1,0,25,1,1,2,2,2,2,2,2,2,0,0,1,20.15,536.35,0
0096-FCPUF,1,0,1,0,30,1,2,0,1,1,0,0,0,1,0,0,1,64.5,1888.45,0
0668-OGMHD,0,0,0,0,21,0,0,0,1,1,0,0,0,0,0,1,0,28.5,629.35,0
5552-ZNFSJ,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,45.3,45.3,1
2223-KAGMX,0,0,1,0,15,1,1,2,2,2,2,2,2,2,0,1,2,19.4,289.3,1
6507-ZJSUR,1,1,0,0,23,1,1,1,0,1,0,0,1,1,0,0,0,90.45,2117.25,0
9408-HRXRK,0,0,0,1,45,1,2,1,1,0,0,0,1,1,0,0,0,105.15,4730.9,0
5593-SUAOO,0,0,0,1,24,1,2,1,0,0,1,0,0,0,1,1,2,83.15,2033.05,0
7321-PKUYW,0,0,1,0,11,1,2,1,0,1,0,1,1,0,0,1,0,90.15,987.95,1
2833-SLKDQ,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,45.05,45.05,1
6766-HFKLA,0,0,0,0,56,1,2,1,0,1,1,1,1,1,2,1,2,103.2,5744.35,0
7595-EUIVN,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,75.8,75.8,1
7617-EYGLW,1,0,1,0,1,1,1,2,2,2,2,2,2,2,0,1,0,19.45,19.45,0
2026-TGDHM,0,0,1,0,7,1,1,1,0,1,0,0,0,1,0,0,0,79.3,523.15,1
9220-ZNKJI,0,1,0,0,55,1,1,1,0,1,1,1,1,0,2,1,3,88.8,4805.3,0
4030-VPZBD,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,30.9,59.05,1
2226-ICFDO,0,0,0,1,72,1,2,0,1,1,1,1,1,1,2,0,3,85.9,6110.75,0
0723-VSOBE,0,1,1,0,45,0,0,0,0,1,0,0,0,1,1,1,0,34.2,1596.6,0
5529-GIBVH,0,0,1,0,47,1,1,2,2,2,2,2,2,2,2,1,1,20.15,1046.2,0
4187-CINZD,0,1,1,0,46,1,1,1,0,0,0,0,1,1,1,1,3,95.25,4424.2,1
9992-UJOEL,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,50.3,92.75,0
4741-WWJQZ,0,0,0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,80.15,194.55,0
6625-UTXEW,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,51.25,612.1,0
